word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
P K IY B IH D,6,1.236442110883688,-19.790290318001567,1.2468175777357347,-20.186963815113906,1.7745314826131402,-inf,1.2323747123175564,-inf,1.5219549024868875,-25.742057135518756,1.1769415395526033,-21.075922584838374,1.1113994150715711,-inf,1.0089330173591569,-inf,1.024078884670366,-48.40439496021414,1.0068585800942658,-37.45760448003131
P K AA S IH P,6,1.259393076443891,-19.27966337018627,1.2560291741254217,-20.131231723224523,1.3877504215212084,-inf,1.2477364783822766,-inf,1.3881624039103901,-23.967671272358842,1.2598664931641415,-18.463087950302388,1.09486738745212,-inf,1.0096589247192755,-inf,1.0234947814993005,-46.11938214923894,1.0132944433876523,-33.93525317088637
P L EH P IH D,6,1.246257898015485,-19.430416475276164,1.2891156733764935,-18.63479521021175,1.8837962053795503,-17.410991538749485,1.3346849831879626,-13.999274045438739,1.6075061345723962,-18.859367756277965,1.280341241066686,-14.576117614021117,1.1218269542251658,-36.04578674896124,1.019466992725977,-29.056262260423345,1.0280753800513396,-41.16183173824794,1.0123538985056961,-30.215041258065114
P L AA S IH P,6,1.2633265106345113,-19.20490329497716,1.2706902770914756,-19.741175240469204,1.4650033430972143,-20.76099259768688,1.3256326687990856,-15.528464274037912,1.4113848269682756,-20.602281673100393,1.2858948467758369,-14.911712640724598,1.1017999119044948,-40.502167838156076,1.0166122535210331,-30.457594498907774,1.0234332969549778,-42.679232474771375,1.0132099000274766,-30.495103496418803
P R EH Z IH G,6,1.2070570436949366,-21.433924287317055,1.27519723815434,-20.967628535011833,1.7219885381093847,-18.756440001982426,1.5387172502780941,-13.924526391083646,1.5318944453637149,-19.852955982576432,1.4291522661830312,-14.24476923414015,1.1228155254524972,-39.72406853699426,1.03677952805174,-29.784855713403786,1.023579322747744,-44.158927776587305,1.0153234840318728,-30.93512904520008
P R AA T IH F,6,1.2615377769867402,-19.64179765065581,1.3496745635325595,-18.581474584693208,1.7673242236534081,-17.173037826671848,1.6457513973007554,-11.831364590439014,1.565263309279769,-19.0816206881647,1.4815485094813374,-13.46218511055849,1.1334937278919714,-35.754512411365056,1.049873926201907,-25.592156036460374,1.0289515348079377,-41.595465845514326,1.0223194470864245,-28.68920214972856
P W IY G IH F,6,1.169093174334787,-23.023256856807638,1.1978899052717802,-22.55638457234066,1.2904027440051276,-inf,1.1348569790340535,-inf,1.298117047834629,-inf,1.1487313226746325,-inf,1.089191308905964,-inf,1.003319635733587,-inf,1.0150867700631754,-inf,1.0032549193667701,-inf
P W EH Z IH G,6,1.1574530568657118,-23.634664930286164,1.1956889489922784,-23.075508012012204,1.4560091007186031,-inf,1.2719976682654033,-inf,1.3915501621879076,-inf,1.2690879899961194,-inf,1.0900685671712012,-inf,1.0039162899461065,-inf,1.0155940175538372,-inf,1.0043434151290342,-inf
R D IY G IH F,6,1.2183945893031949,-20.832040095349786,1.1710630778939881,-23.05581372664097,1.2834134340965209,-inf,1.1573127840985542,-inf,1.2801942379531062,-24.334143368566288,1.1828021388239354,-17.8520977911743,1.0639433695399008,-inf,1.0033769456080783,-inf,1.0138801358808431,-48.03823097060989,1.0063407520131888,-34.7815736996843
R D AA S IH P,6,1.264198629527454,-19.1931429160596,1.2094662466010186,-21.65844711362433,1.3463364384264607,-inf,1.2326669177487823,-inf,1.326658035044858,-22.593160037844342,1.2186859857554626,-16.622607897849186,1.0684352820772602,-inf,1.008512727229448,-inf,1.0181917395514704,-44.65835046059776,1.010747574662355,-32.12382790710537
