word,word_len,uni_nonpos_sum,uni_nonpos_prod,uni_pos_sum,uni_pos_prod,bi_pos_cond_wb_sum,bi_pos_cond_wb_prod,bi_pos_cond_nwb_sum,bi_pos_cond_nwb_prod,bi_nonpos_cond_wb_sum,bi_nonpos_cond_wb_prod,bi_nonpos_cond_nwb_sum,bi_nonpos_cond_nwb_prod,bi_pos_joint_wb_sum,bi_pos_joint_wb_prod,bi_pos_joint_nwb_sum,bi_pos_joint_nwb_prod,bi_nonpos_joint_wb_sum,bi_nonpos_joint_wb_prod,bi_nonpos_joint_nwb_sum,bi_nonpos_joint_nwb_prod
ɫ o m ø s,5,1.1607911556097175,-18.19297547659577,1.1580890131919466,-20.040647977222697,1.5500909326825374,-inf,1.2493979137713271,-inf,1.2137808959106322,-23.7185910215694,1.1122025903379338,-16.556933136551358,1.0265846938604684,-inf,1.006369125718587,-inf,1.0070699372986351,-44.63263348720955,1.0032012051595893,-31.123703471824967
n ɯ v ø c,5,1.1050490526998713,-22.316148913561925,1.1084544645079504,-23.21643649695377,1.1133176308668598,-inf,1.0457040749666504,-inf,1.066620969583802,-inf,1.036856220280995,-inf,1.0220451023014598,-inf,1.001905682716268,-inf,1.0038556435001091,-inf,1.0014332193034765,-inf
s ø ɾ u ɾ,5,1.196991083718361,-17.419868282345767,1.3518503805959323,-14.261637851194934,1.8051199392739532,-14.14183782399559,1.4126187029589476,-10.310056365501229,1.7100060039031995,-15.476373057880078,1.479138191272927,-10.758289675414828,1.1166274603067032,-28.403475675190524,1.0191373454814325,-21.947075586534964,1.0276082183305288,-35.61730832927023,1.0105451464080595,-25.099954476425204
z a ʒ ɯ ʒ,5,1.1961406615758234,-21.998094155474003,1.3354719613518327,-21.163995335172057,1.918224320873344,-inf,1.3103448275862069,-inf,1.455724602443157,-inf,1.2437674730348445,-inf,1.0197535042065446,-inf,1.0043869150779896,-inf,1.005583515049082,-inf,1.0044775026415174,-inf
ɫ a c e c,5,1.2749143002428525,-20.652231711132256,1.386819495813845,-20.552667795197365,1.299589393961332,-inf,1.2413792236672554,-inf,1.2295329090836256,-inf,1.2238095199392538,-inf,1.0148187664420965,-inf,1.0035239470356943,-inf,1.010088053541382,-inf,1.0117691366161379,-inf
s ø ɾ ø ɾ,5,1.1745381857076476,-18.916248108852137,1.311449218136533,-17.434300832908004,2.093384897279444,-16.643185158605053,1.6842826042371881,-12.909284749337223,1.7555664657579952,-17.736643428071496,1.5015288523782486,-13.11278555310934,1.1048861912431156,-34.07748599151306,1.006315849424642,-27.621085902857494,1.0231715874536906,-39.373958525968014,1.004393811003358,-28.85660467312299
n y n i v,5,1.2014185392027075,-16.875155560146357,1.2901878365226052,-15.696043215183877,1.341393849833906,-18.671723103859634,1.245187453014717,-12.091837199316032,1.2210799870596518,-21.870278494630696,1.2052534046839292,-13.645424451943644,1.0361834988586722,-34.36776631904351,1.015590305177985,-23.408534401822063,1.008435634898478,-41.46650104382144,1.0072916339746205,-26.398456530471613
b u h a ʒ,5,1.210299751887148,-19.63382263150912,1.3523956399527486,-16.789086067771354,2.1119068168789594,-14.612483694547631,1.4608040036085796,-11.208031867426836,1.8263839343489092,-16.589829009805186,1.544846801837617,-12.170562485576056,1.087369844870666,-31.401569762318985,1.0216107271562673,-21.789728154511913,1.0185161431492535,-38.944718630358686,1.0125642071786505,-25.072016796792763
v ɯ c ø c,5,1.058407343439037,-25.87442309272073,1.0761529069919817,-25.846024210824762,1.08053805326026,-inf,1.0159744408945688,-inf,1.0532805971353074,-inf,1.017687074829932,-inf,1.0172804549979009,-inf,1.0002707972270364,-inf,1.0025804893875487,-inf,1.0002719978240173,-inf
t͡ʃ e ʒ u ʒ,5,1.1313683029256274,-23.048080491923255,1.2460500918115391,-21.09916794726938,1.8365521756879273,-inf,1.214018379281537,-inf,1.5269803031107139,-22.073070829734753,1.3045798704056188,-16.391247328999725,1.0366983269670036,-inf,1.0066654436263762,-inf,1.0065870386997957,-47.84221831070239,1.003033821883271,-33.15441785138296
ʃ u ɟ y ɾ,5,1.1296411569248033,-21.957256044240108,1.1847548415426716,-19.763532655887634,1.6199365901455418,-19.184961097465358,1.2719548034891393,-14.114557578240076,1.3984511249961808,-22.499173241968023,1.2085737849764677,-16.527315796856424,1.0505570585129345,-38.948493753352984,1.0053463860468044,-31.186586335810926,1.0157545667871397,-47.177496275252516,1.0043519651842783,-35.354635093521
ɟ ø t͡ʃ e ʒ,5,1.1076353880818157,-25.895838414443286,1.140043237235324,-25.16602814759299,1.7378070256280478,-inf,1.1589514909086955,-inf,1.4423565492142039,-inf,1.2236768538018454,-inf,1.00364296674779,-inf,1.0022924360788037,-inf,1.0025578535157282,-inf,1.0029710531546516,-inf
b e v e ʒ,5,1.2096334417548502,-19.361992708840056,1.3761639224927547,-16.36076351542717,2.045476738833509,-15.844705653043235,1.3900013652522514,-12.440032302316212,1.7493519172547556,-16.706821942985723,1.440527950310559,-12.24732981739206,1.0939103833801034,-32.2054691684704,1.0278984680883783,-22.593627560663332,1.0183803279183299,-38.789881640870156,1.012375900992792,-24.917179807304237
v ø l ø h,5,1.0523404143396955,-23.290063091036213,1.0659556661882257,-22.904157905729534,1.320682882503653,-inf,1.0,-inf,1.1136494194698496,-inf,1.0054421768707482,-inf,1.0211832344564578,-inf,1.0,-inf,1.0038631887907163,-inf,1.0000418458190796,-inf
t͡ʃ e ʒ ø z,5,1.1261342614916579,-22.149337690660726,1.2224079772817127,-22.071140143669744,1.8413064730425428,-inf,1.3107925728299241,-inf,1.5674402840872992,-19.18578744927172,1.332660173156985,-13.572026990209809,1.0450857750853961,-inf,1.00686107453606,-inf,1.010782220277214,-44.05619212897683,1.0036824320790048,-31.737351831596314
h y ʒ o ʒ,5,1.0678847283471125,-24.26036702153048,1.1385613608532974,-22.27856052861333,1.6905675352483664,-inf,1.0540040051958894,-inf,1.3588369593392204,-23.094093596183594,1.0666102958044976,-18.08655451777398,1.0471549038015864,-inf,1.0022002270881678,-inf,1.0071302996234899,-50.075527606758456,1.0008996851102114,-35.80564571661847
t i s ø ɾ,5,1.2318671588009922,-16.6433666420812,1.2934630318516254,-16.863408009700066,1.9957451832100574,-16.726289730035074,1.5854298672383687,-12.995914914739915,1.6791527807221818,-15.288823083741887,1.4699769889110157,-10.418170559052953,1.1092175899270305,-33.58969773973514,1.009196713442622,-27.153202473378514,1.0306716063169172,-34.653256714867474,1.0145100377658516,-24.155807684321385
l i ʒ a v,5,1.2306309781608087,-20.23050859359168,1.2954686251708838,-20.11090693353435,1.1840341891662478,-inf,1.1059861523158976,-inf,1.1981183851288717,-26.93864092108832,1.2104994293163875,-17.41470191589716,1.0117829582657587,-inf,1.005853468543388,-inf,1.0041725457055979,-49.89021650372438,1.00418458190796,-33.54069891599676
h a c i z,5,1.2472887314682493,-19.17393398541818,1.4436182946237799,-16.515345834985798,2.1334671327983643,-inf,1.5927259485105003,-inf,1.7087634349322205,-inf,1.4578803934352331,-inf,1.0816073246060773,-inf,1.029014126217107,-inf,1.0186293225083565,-inf,1.0116749835232088,-inf
j a b u ʒ,5,1.2174538185707646,-19.31027464586884,1.3727688430545328,-17.623178015152316,2.2173287761450142,-inf,1.5874081596399907,-inf,1.7069156423809473,-18.66177474584945,1.432946121945528,-13.726770865816935,1.0681149452099792,-inf,1.029576112826616,-inf,1.0169467227030249,-40.693116380762675,1.0157235665191602,-26.268258387719264
b e ʒ a v,5,1.2617371406528084,-18.887323500746025,1.441131755390738,-16.955360901067905,1.4328770713126997,-18.940492612695856,1.2953379842627035,-13.494761952650006,1.4537315392934438,-19.56906284531509,1.407306074291666,-12.815716030729206,1.0838922136998113,-35.89585351376376,1.018474361069321,-26.112161649030035,1.016494005266613,-41.1774533351055,1.0097709987550867,-27.28494887424339
m y ɾ e ɾ,5,1.2747564899483608,-14.984624734814103,1.489033852575989,-11.775576286942108,2.0609347890478467,-11.220105972495077,1.6475937397541096,-7.62964453415616,1.7611233096684766,-12.552940803573671,1.5542563178407545,-7.922089820323282,1.1830890339502147,-22.99568225943718,1.064327496486173,-16.809121718995947,1.0444568522556645,-30.258632527432155,1.0295536097249682,-20.011118222801457
ɟ i ɟ i c,5,1.14301119576367,-27.327803810976384,1.200631107369301,-26.403337130686925,1.0516366039804366,-inf,1.004133473703083,-inf,1.0614037494325577,-34.544864796093734,1.0424880349283843,-21.801351336272788,1.000674989671926,-inf,1.0004350671053688,-inf,1.0002339040088126,-64.5937355961145,1.0002510749144775,-42.18237266451709
g a ɟ i l,5,1.2277290221898807,-21.711665732611312,1.4234248610169082,-18.225930671663797,1.7340187973067482,-inf,1.2046609008774587,-inf,1.5504539953688095,-21.848897140452937,1.256740358435683,-16.812022498879287,1.0470226683674255,-inf,1.0082939096649635,-inf,1.0093033433182679,-46.28162986210863,1.003996275722102,-33.237952873211185
l e ʒ ɯ h,5,1.1494200471677436,-21.03897463564812,1.244495155727509,-20.631852532283148,1.3160793117987466,-inf,1.0070677488317537,-inf,1.111923082856174,-30.18402807989924,1.0195033280645394,-21.5886159568949,1.010581380450377,-inf,1.0007952166504448,-inf,1.0026106705499762,-53.94406970459174,1.000502149828955,-38.95552866999972
